"t_disturbance","heterogeneity"
-4,7.10460506
0,18.46368655
1,14.84985608
2,6.594347989
3,19.40286107
4,23.55234659
5,22.3272481
6,21.29209943
7,21.69568184
9,19.48972405
11,16.93088539
13,16.62505531
14,17.89726753
17,14.19476443
21,10.1357297
24,7.81754242
24,7.708711916
