"sampleID","colnames","scenario","CurveID","func","param","error","x_true_peak","true_peaked","C_0.625","C_0.875","C_0.600","C_0.800","C_0.500","C_incl_peak","n_CI","n_peak","n_trough"
6526,"X6526","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,1,1,1,1,0
6527,"X6527","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,1,1,1,0,1,1,1,0
6528,"X6528","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6529,"X6529","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6530,"X6530","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6531,"X6531","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,1,1,1,1,1,0
6532,"X6532","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6533,"X6533","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6534,"X6534","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6535,"X6535","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6536,"X6536","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6537,"X6537","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6538,"X6538","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6539,"X6539","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6540,"X6540","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6541,"X6541","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6542,"X6542","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6543,"X6543","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
