"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func","CurveID","SN"
4321,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
4325,2,0.2,0.510676570189718,0,0,0,0,0,0,"linear","linear2",5
4329,2,0.2,0.444513977556386,0,0,0,0,0,0,"linear","linear2",5
4333,2,0.2,0.747361642159828,0,0,0,0,0,0,"linear","linear2",5
4337,2,0.2,0.512744232148717,0,0,0,0,0,0,"linear","linear2",5
4341,2,0.2,0.953681105105781,0,0,0,0,0,0,"linear","linear2",5
4345,2,0.2,0.679252228820357,0,0,0,0,0,0,"linear","linear2",5
4349,2,0.2,0.358575546707658,0,0,0,0,0,0,"linear","linear2",5
4353,2,0.2,0.309554383354298,0,0,0,0,0,0,"linear","linear2",5
4357,2,0.2,0.684598372269614,0,0,0,0,0,0,"linear","linear2",5
4361,2,0.2,0.353193446568571,0,0,0,0,0,0,"linear","linear2",5
4365,2,0.2,0.659138026727143,0,0,0,0,0,0,"linear","linear2",5
4369,2,0.2,0.34078431572769,0,0,0,0,0,0,"linear","linear2",5
4373,2,0.2,0.780719446031886,0,0,0,0,0,0,"linear","linear2",5
4377,2,0.2,0.312090230522513,0,0,0,0,0,0,"linear","linear2",5
4381,2,0.2,0.325640320205197,0,0,0,0,0,0,"linear","linear2",5
4385,2,0.2,0.441847263336916,0,0,0,0,0,0,"linear","linear2",5
4389,2,0.2,0.919343809974399,0,0,0,0,0,0,"linear","linear2",5
4393,2,0.2,0.980437696011053,0,0,0,0,0,0,"linear","linear2",5
4397,2,0.2,0.642884568514998,0,0,0,0,0,0,"linear","linear2",5
4401,2,0.2,0.559873146650464,0,0,0,0,0,0,"linear","linear2",5
4405,2,0.2,0.719535503131539,0,0,0,0,0,0,"linear","linear2",5
4409,2,0.2,0.625916294002587,0,0,0,0,0,0,"linear","linear2",5
4413,2,0.2,0.494346387157391,0,0,0,0,0,0,"linear","linear2",5
4417,2,0.2,0.0681413727612758,0,0,0,0,0,0,"linear","linear2",5
4421,2,0.2,0.905640285551873,0,0,0,0,0,0,"linear","linear2",5
4425,2,0.2,0.593997495749946,0,0,0,0,0,0,"linear","linear2",5
4429,2,0.2,0.714550355249356,0,0,0,0,0,0,"linear","linear2",5
4433,2,0.2,0.124731470122923,0,0,0,0,0,0,"linear","linear2",5
4437,2,0.2,0.882018564098266,0,0,0,0,0,0,"linear","linear2",5
4441,2,0.2,0.367188630337272,0,0,0,0,0,0,"linear","linear2",5
4445,2,0.2,0.411776549168301,0,0,0,0,0,0,"linear","linear2",5
4449,2,0.2,0.969448123644121,0,0,0,0,0,0,"linear","linear2",5
4453,2,0.2,0.999846665067715,0,0,0,0,0,0,"linear","linear2",5
4457,2,0.2,0.069090326742171,0,0,0,0,0,0,"linear","linear2",5
4461,2,0.2,0.973356523049206,0,0,0,0,0,0,"linear","linear2",5
4465,2,0.2,0.582832624502119,0,0,0,0,0,0,"linear","linear2",5
4469,2,0.2,0.947759186141972,0,0,0,0,0,0,"linear","linear2",5
4473,2,0.2,0.468849862957841,0,0,0,0,0,0,"linear","linear2",5
4477,2,0.2,0.617743897244686,0,0,0,0,0,0,"linear","linear2",5
4481,2,0.2,0.608027637959771,0,0,0,0,0,0,"linear","linear2",5
4485,2,0.2,0.170462156889268,0,0,0,0,0,0,"linear","linear2",5
4489,2,0.2,0.982648071382815,0,0,0,0,0,0,"linear","linear2",5
4493,2,0.2,0.254827171605892,0,0,0,0,0,0,"linear","linear2",5
4501,2,0.2,0.837192486637089,0,0,0,0,0,0,"linear","linear2",5
4505,2,0.2,0.000747126340948479,1,0,0,0,0,0,"linear","linear2",5
4509,2,0.2,0.394126890232443,0,0,0,0,0,0,"linear","linear2",5
4513,2,0.2,0.641080836473373,0,0,1,0,0,0,"linear","linear2",5
4517,2,0.2,0.522781513921997,0,0,0,0,0,0,"linear","linear2",5
4521,2,0.2,0.609142416237117,0,0,0,0,0,0,"linear","linear2",5
4525,2,0.2,0.0767659227456106,0,0,0,0,0,0,"linear","linear2",5
4529,2,0.2,0.73725114017502,0,0,0,0,0,0,"linear","linear2",5
4533,2,0.2,0.654989715096568,0,0,0,0,0,0,"linear","linear2",5
4537,2,0.2,0.146071549696659,0,0,0,0,0,0,"linear","linear2",5
4541,2,0.2,0.631575458447671,0,0,0,0,0,0,"linear","linear2",5
4545,2,0.2,0.390812910220791,0,0,0,0,0,0,"linear","linear2",5
4549,2,0.2,0.649082120162733,0,0,0,0,0,0,"linear","linear2",5
4553,2,0.2,0.612664223329093,0,0,0,0,0,0,"linear","linear2",5
4557,2,0.2,0.381376837025763,0,0,0,0,0,0,"linear","linear2",5
4561,2,0.2,0.744730856367208,0,0,0,0,0,0,"linear","linear2",5
4565,2,0.2,0.425985247744571,0,0,0,0,0,0,"linear","linear2",5
4569,2,0.2,0.284742954253934,0,0,0,0,0,0,"linear","linear2",5
4573,2,0.2,0.570133935490662,0,0,0,0,0,0,"linear","linear2",5
4577,2,0.2,0.520313078791657,0,0,0,0,0,0,"linear","linear2",5
4581,2,0.2,0.75006956453709,0,0,0,0,0,0,"linear","linear2",5
4585,2,0.2,0.552431559586921,0,0,0,0,0,0,"linear","linear2",5
4589,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
4593,2,0.2,0.0335691991532956,1,0,0,0,0,0,"linear","linear2",5
4597,2,0.2,0.54349276633941,0,0,0,0,0,0,"linear","linear2",5
4601,2,0.2,0.824924726359402,0,0,0,0,0,0,"linear","linear2",5
4605,2,0.2,0.994453346702626,0,0,0,0,0,0,"linear","linear2",5
4609,2,0.2,0.574694034573029,0,0,0,0,0,0,"linear","linear2",5
4613,2,0.2,0.538370063245313,0,0,0,0,0,0,"linear","linear2",5
4617,2,0.2,0.742174821891914,0,0,0,0,0,0,"linear","linear2",5
4621,2,0.2,0.463984949810854,0,0,0,0,0,0,"linear","linear2",5
4625,2,0.2,0.961862519151503,0,0,0,0,0,0,"linear","linear2",5
4629,2,0.2,0.624286112279095,0,0,0,0,0,0,"linear","linear2",5
4633,2,0.2,0.484810342619652,0,0,0,0,0,0,"linear","linear2",5
4637,2,0.2,0.0947147449653004,0,0,0,0,0,0,"linear","linear2",5
4641,2,0.2,0.611295055044496,0,0,0,0,0,0,"linear","linear2",5
4645,2,0.2,0.209814280471914,0,0,0,0,0,0,"linear","linear2",5
4649,2,0.2,0.000197706020263188,1,0,0,0,0,0,"linear","linear2",5
4653,2,0.2,0.421959441136709,0,0,0,0,0,0,"linear","linear2",5
4657,2,0.2,0.44221345331813,0,0,0,0,0,0,"linear","linear2",5
4661,2,0.2,0.686866451762492,0,0,0,0,0,0,"linear","linear2",5
4669,2,0.2,0.869426543946471,0,0,0,0,0,0,"linear","linear2",5
4673,2,0.2,0.755816278091988,0,0,0,0,0,0,"linear","linear2",5
4677,2,0.2,0.339696877470934,0,0,0,0,0,0,"linear","linear2",5
4681,2,0.2,0.841462846101836,0,0,0,0,0,0,"linear","linear2",5
4685,2,0.2,0.573668547612807,0,0,0,0,0,0,"linear","linear2",5
4689,2,0.2,0.240007732652694,0,0,0,0,0,0,"linear","linear2",5
4693,2,0.2,0.724535236929085,0,0,0,0,0,0,"linear","linear2",5
4697,2,0.2,0.999148412137057,0,0,0,0,0,0,"linear","linear2",5
4701,2,0.2,0.757109003988108,0,0,0,0,0,0,"linear","linear2",5
4705,2,0.2,0.519435928534292,0,0,0,0,0,0,"linear","linear2",5
4709,2,0.2,0.217630275490228,0,0,0,0,0,0,"linear","linear2",5
4713,2,0.2,0.477569917452598,0,0,0,0,0,0,"linear","linear2",5
4717,2,0.2,0.378365155366887,0,0,0,0,0,0,"linear","linear2",5
4721,2,0.2,0.923007989721219,0,0,0,0,0,0,"linear","linear2",5
4725,2,0.2,0.608136565157395,0,0,0,0,0,0,"linear","linear2",5
4729,2,0.2,0.956574992260945,0,0,0,0,0,0,"linear","linear2",5
4733,2,0.2,0.143167673316066,0,0,0,0,0,0,"linear","linear2",5
4737,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
