"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func"
357,6,0.2,3.08462810155502e-06,1,1,1,1,1,0,"beta"
361,6,0.2,4.98321557365333e-05,1,1,1,1,1,0,"beta"
365,6,0.2,0.000106895492525926,1,1,1,1,1,0,"beta"
369,6,0.2,0.00167421684167514,1,1,1,1,1,0,"beta"
373,6,0.2,0.000812069801275366,1,1,1,1,1,0,"beta"
377,6,0.2,0.000106340025426695,1,1,1,1,1,0,"beta"
381,6,0.2,3.92483044965774e-09,1,1,1,1,1,0,"beta"
385,6,0.2,0.000695126988940604,1,1,1,1,1,0,"beta"
389,6,0.2,3.59070092863863e-13,1,1,1,1,1,0,"beta"
393,6,0.2,4.19822873743246e-09,1,1,1,1,1,0,"beta"
397,6,0.2,9.56705905035799e-05,1,1,1,1,1,0,"beta"
401,6,0.2,7.61250486844685e-07,1,1,1,1,1,0,"beta"
405,6,0.2,0.00135246183429752,1,1,1,1,1,0,"beta"
409,6,0.2,0.000330874224408394,1,1,1,1,1,0,"beta"
413,6,0.2,4.39128204243267e-10,1,1,1,1,1,0,"beta"
417,6,0.2,2.37354940284591e-06,1,1,1,1,1,0,"beta"
421,6,0.2,1.17545533367365e-08,1,1,1,1,1,0,"beta"
425,6,0.2,3.19982696928636e-05,1,1,1,1,1,0,"beta"
429,6,0.2,0.000141605827549105,1,1,1,1,1,0,"beta"
433,6,0.2,0.000223409018876984,1,1,1,1,1,0,"beta"
437,6,0.2,0.000144212459381953,1,1,1,1,1,0,"beta"
441,6,0.2,0.000115427756074159,1,1,1,1,1,0,"beta"
445,6,0.2,3.87753857757003e-08,1,1,1,1,1,0,"beta"
449,6,0.2,8.02415819081676e-07,1,1,1,1,1,0,"beta"
453,6,0.2,0.000975566338985048,1,1,1,1,1,0,"beta"
457,6,0.2,5.14824198355161e-07,1,1,1,1,1,0,"beta"
461,6,0.2,8.27463624989421e-05,1,1,1,1,1,0,"beta"
465,6,0.2,5.05720535764349e-08,1,1,1,1,1,0,"beta"
469,6,0.2,4.56151085731976e-08,1,1,1,1,1,0,"beta"
473,6,0.2,0.00429585118609083,1,1,1,1,1,0,"beta"
477,6,0.2,0.000820026878664412,1,1,1,1,1,0,"beta"
481,6,0.2,0.000925444892048133,1,1,1,1,1,0,"beta"
485,6,0.2,5.91267560727373e-05,1,1,1,1,1,0,"beta"
489,6,0.2,6.66782523877606e-05,1,1,1,1,1,0,"beta"
493,6,0.2,0.000120956724485146,1,1,1,1,1,0,"beta"
497,6,0.2,5.97972384023925e-05,1,1,1,1,1,0,"beta"
501,6,0.2,0.000137885479732181,1,1,1,1,1,0,"beta"
505,6,0.2,2.58345786999326e-05,1,0,1,1,1,0,"beta"
509,6,0.2,0.00907137529355217,1,1,1,1,1,0,"beta"
513,6,0.2,0.006977931865119,1,1,1,1,1,0,"beta"
517,6,0.2,0.000442423504265436,1,1,1,1,1,0,"beta"
