fire_severity,expShannon
185.9124867,-3.82745098
192.3159018,-3.207843137
265.3148346,-2.478431373
267.022412,1.2
292.6360726,-0.243137255
323.7993597,-1.019607843
357.5240128,0.988235294
368.6232657,1.77254902
414.3009605,3.043137255
418.1430096,2.596078431
435.2187834,-0.188235294
536.8196371,-1.207843137
593.1696905,1.529411765
605.9765208,1.82745098
622.1985059,0.729411765
656.3500534,0.682352941
619.2102455,-1.764705882
