mort_mean,sp_rarefaction
0,12.10176391
7.11E-15,12.64993216
0,12.98371777
0.968379447,12.26458616
4.911067194,12.47354138
6.432806324,12.27001357
7.954545455,12.61736771
10.58300395,13.04884668
9.061264822,11.31478969
12.38142292,12.49525102
13.69565217,12.38670285
15.00988142,12.59294437
17.43083004,13.01899593
19.29841897,13.192673
20.75098814,13.12211669
23.51778656,12.8697422
27.73715415,12.20759837
31.12648221,13.08141113
32.7173913,12.21302578
35.41501976,12.49525102
39.84189723,12.43283582
49.80237154,11.0624152
59.55533597,10.97557666
