fire_severity,richness
191.0592809,-1.112721783
184.4509232,-0.692757185
264.1399417,-0.000187422
265.6948494,0.169106622
291.350826,0.409244065
322.4489796,1.163696377
356.2682216,0.398877551
367.5413022,0.111795085
413.0223518,0.568467305
416.909621,0.604916701
434.0136054,0.281436901
535.8600583,0.32483965
591.8367347,0.721568097
605.05345,0.533067472
620.9912536,0.528867139
617.8814383,-0.238292378
654.8104956,0.443334027
