t_disturbance,heterogeneity
-3.985026836,7.10460506
0.000756589,18.46368655
1.002116813,14.84985608
1.999001705,6.594347989
3.006838886,19.40286107
4.003988144,23.55234659
4.998701461,22.3272481
6.010277527,21.29209943
7.000458863,21.69568184
9.00659718,19.48972405
11.01371743,16.93088539
13.01456843,16.62505531
14.00233271,17.89726753
17.00393968,14.19476443
21.01523438,10.1357297
24.03038064,7.81754242
24.10024869,7.708711916
